address,business_id,categories,city,name,postal_code,stars,state
"1166 E Warner Rd, Ste 216A",YmzH5RyxnAnIPVChPIpP_w,"Estate Planning Law, Criminal Defense Law, Disability Law, Wills, Trusts, & Probates, Personal Injury Law, Professional Services, Real Estate Law, Business Law, Lawyers",Gilbert,"Andrew S Mathers, PC",85296,5.0,AZ
317 S South St,VHVQXoXPk81mCVuzV-OpjQ,"Real Estate, Lawyers, Legal Services, Real Estate Services, Home Services, Professional Services, Real Estate Law",Gastonia,Hance & Hance,28052,2.5,NC
"2601 N 3rd St, Ste 305",mGHWC3AjjcWTQvv4m9ddpg,"Financial Advising, Financial Services, Professional Services, Criminal Defense Law, Immigration Law, Real Estate Law, Business Law, DUI Law, Lawyers, Bankruptcy Law, General Litigation, Personal Injury Law",Phoenix,Martinet Law,85004,5.0,AZ
"10240 W Bell Rd, Ste E",m0TPVaF2ZSXNUy6AuCdYVA,"Real Estate Law, Divorce & Family Law, Estate Planning Law, Professional Services, Lawyers",Sun City,That Paralegal Place,85351,2.0,AZ
3055 E Waterman Way,193GRVErPSYgfMlq4ye86w,"Wills, Trusts, & Probates, Financial Services, General Litigation, Professional Services, Lawyers, Estate Planning Law, Legal Services",Gilbert,Family First Estate & Corporate Services,85297,4.5,AZ
"1717 E Bell Rd, Ste 1",OflOH1yPze86GU8Wuu2l4g,"Real Estate Law, Lawyers, Personal Injury Law, DUI Law, Medical Law, Professional Services, Criminal Defense Law",Phoenix,Alex & Associates,85022,5.0,AZ
"6787 W Tropicana Ave, Ste 268 & 270",4TgAjM5Mamp0Qqz1vQz6nw,"Professional Services, Business Law, Divorce & Family Law, Lawyers, Estate Planning Law",Las Vegas,Cutter Law Firm,89103,4.0,NV
"10201 Southport Road SW, Suite 880",C4K8pCPROYDQZdAbUnBSvg,"Professional Services, Divorce & Family Law, Real Estate Law, Lawyers, Estate Planning Law",Calgary,West Legal,T2W 4X9,4.0,AB
"207 N Gilbert Rd, Ste 209",wDUz9x2xiYniDM3i3al7RQ,"Lawyers, Estate Planning Law, Bankruptcy Law, Divorce & Family Law, Professional Services, Wills, Trusts, & Probates",Gilbert,Cholewka Law,85234,4.0,AZ
"439 University Avenue, Suite 2201",Tvtwp5NFy-PzM2poMzjL0g,"Legal Services, Lawyers, Notaries, Professional Services, Real Estate Law, Estate Planning Law, Personal Injury Law, Local Services",Toronto,Axess Law,M5G 1Y8,3.5,ON
"1160 N Town Center Dr, Ste 390",ovmt7QUFjF3h5YZoQVFa_A,"Lawyers, Professional Services, Estate Planning Law, Wills, Trusts, & Probates",Las Vegas,Johnson & Johnson Law Offices,89144,5.0,NV
5622 W Glendale Ave,87ljDf7ZsNFYwuf6BwLieg,"General Litigation, Real Estate Law, Personal Injury Law, DUI Law, Criminal Defense Law, Divorce & Family Law, Lawyers, Bankruptcy Law, Immigration Law, Professional Services",Glendale,Bellah Perez,85301,4.0,AZ
"6623 Las Vegas Blvd S, Ste 300",S7CGD8ue3YLzTp5hPZGqfg,"Professional Services, Bankruptcy Law, Home Services, Real Estate, Real Estate Law, Lawyers, Real Estate Agents, Personal Injury Law",Las Vegas,Schwartz Flansburg PLLC,89119,4.5,NV
"880 Seven Hills Dr, Ste 210",wnYansqrzDDYQrEXH0vb7A,"Wills, Trusts, & Probates, Divorce & Family Law, Lawyers, Estate Planning Law, Personal Injury Law, Professional Services",Henderson,Parry & Pfau,89052,5.0,NV
"6910 S Cimarron Rd, Ste 230",X9lBHGl5Ta3vZlIFMc9VbA,"Professional Services, Business Law, Lawyers, Personal Injury Law, Estate Planning Law, Elder Law",Las Vegas,Young Law Group,89113,4.0,NV
8816 Spanish Ridge Ave,_chgT2KGlgQp_c7dWdGLhA,"Professional Services, Personal Injury Law, Lawyers, Business Law, Bankruptcy Law, Real Estate Law, Employment Law",Las Vegas,Maier Gutierrez & Associates,89148,5.0,NV
"2375 E Camelback Rd, Ste 600",OkHmiIE3S-o7tYCzB31Xtw,"Debt Relief Services, Professional Services, Bankruptcy Law, Lawyers, Legal Services, Wills, Trusts, & Probates, Estate Planning Law, Financial Advising, Real Estate Law, Financial Services",Phoenix,"Law Office of D.L. Drain,",85016,5.0,AZ
"12725 W Indian School Rd, Ste C-103",rlh554Iq_qED87WCyY_PaA,"Lawyers, Estate Planning Law, Professional Services, Business Law, Bankruptcy Law, Divorce & Family Law",Avondale,Becker Zarling Law,85392,4.0,AZ
"11811 N Tatum Blvd, Ste 3031",ArfVuFWLnEG-NeG6yxc0Bg,"Legal Services, Business Law, Investing, Lawyers, Financial Services, Professional Services, Wills, Trusts, & Probates, Immigration Law, IP & Internet Law, Real Estate Law, Estate Planning Law",Phoenix,IBC Law Firm,85028,5.0,AZ
"2168 E Williams Field Rd, Ste 200",ihL8oAnG4DI55HoKScKDgw,"Professional Services, Lawyers, Tax Law, General Litigation, Estate Planning Law, Business Law",Gilbert,"The Law Office of Paul C. Cox, PLLC",85295,5.0,AZ
"9205 W Russell Rd, Ste 240",v_p_wi92V21gNXavAhRTtA,"Professional Services, Personal Injury Law, Real Estate Law, Lawyers, Criminal Defense Law, General Litigation, Estate Planning Law, Wills, Trusts, & Probates",Las Vegas,Law Office of Steven H. Burke,89148,5.0,NV
"2980 N Litchfield Rd, Ste 120",5Ly0ePr2mA-NsaQv4M-9Aw,"Wills, Trusts, & Probates, Professional Services, Lawyers, Estate Planning Law",Goodyear,Mahoney Law Office,85395,3.5,AZ
"330 E Warm Springs Rd, Ste A-18",LcRga10wGLZnHlGGrV_NTA,"Mortgage Brokers, Real Estate, Lawyers, Home Services, Educational Services, Professional Services, Education, Real Estate Law, Bankruptcy Law, Estate Planning Law",Las Vegas,The Law Office of Monica Centeno,89119,3.5,NV
"4727 E Bell Rd, Ste 45-450",6YyCSiJoz_3ULFbQbTq2pw,"Estate Planning Law, Lawyers, Wills, Trusts, & Probates, Legal Services, Professional Services",Phoenix,Joy Garvey,85032,2.5,AZ
"810 S Durango Dr, Ste 102",JXCy5nMz1PwepUauWtZKqQ,"Lawyers, Business Law, Professional Services, Bankruptcy Law, Real Estate Law",Las Vegas,Clark Newberry Law Firm,89145,5.0,NV
"2850 W Horizon Ridge Pkwy, Ste 200",Hdqqp7G9NgFuW3P-NGQ9Xw,"Legal Services, Lawyers, Business Law, Professional Services, General Litigation, Real Estate Law",Henderson,Gordon Law,89052,5.0,NV
"1707 Village Center Cir, Ste 150",KirVG2SpKBEtCCm3GdeVIA,"Wills, Trusts, & Probates, Estate Planning Law, Professional Services, Lawyers, General Litigation",Las Vegas,Rushforth Lee & Kiefer,89134,3.5,NV
"7375 S Pecos Rd, Ste 101",Ei713CM05bBUe7rHn85Bqw,"Professional Services, Divorce & Family Law, Criminal Defense Law, Lawyers, Personal Injury Law, DUI Law, Estate Planning Law",Las Vegas,Rosenblum Law Offices,89120,5.0,NV
"6655 W Sahara Ave, Ste B-200",rofDCtMXAMsRnVRyHM-B-A,"Personal Injury Law, Professional Services, Lawyers, Estate Planning Law",Las Vegas,Reed & Mansfield,89146,5.0,NV
"153 W Lake Mead Pkwy, Ste 2130",NVZ9J0bUG2i-Ta0gW3JnnA,"Lawyers, Professional Services, Business Law, General Litigation, Divorce & Family Law, Estate Planning Law, Wills, Trusts, & Probates",Henderson,The Law Office of Daniel Potucek,89015,3.5,NV
15393 Yonge Street,VEYq1rfk9sPYxIGhdX6TWg,"Lawyers, Professional Services, Notaries, Local Services, Real Estate Law, Estate Planning Law, Divorce & Family Law",Aurora,Jason K  Allan Law Office,L4G 1P1,5.0,ON
"3005 West Horizon Ridge Pkwy, Ste 241",YatJhykuVLdWqDM8MYCOQA,"Real Estate Law, Personal Injury Law, Criminal Defense Law, Lawyers, Professional Services",Henderson,Lagomarsino Law,89052,4.5,NV
197 S Herlong Ave,NHfTU7yR6CE6EvTBRy0mBg,"Professional Services, Estate Planning Law, Personal Injury Law, Lawyers, Criminal Defense Law, Wills, Trusts, & Probates",Rock Hill,Schiller & Hamilton Law Firm,29732,3.5,SC
8446 Excelsior Dr,1cmJGvE9d2wj9A715-Zktg,"Estate Planning Law, Professional Services, Bankruptcy Law, Lawyers, Business Law, Real Estate Law",Madison,Horn & Johnsen SC,53717,5.0,WI
"6201 Fairview Rd, Ste 330",rO-kxqN6nVv5cs6HvN4IyQ,"Estate Planning Law, Real Estate Law, General Litigation, Business Law, Tax Law, Lawyers, Professional Services, Bankruptcy Law",Charlotte,McGrath & Spielberger,28210,5.0,NC
"2460 Professional Ct, Ste 110",kUBG2fB0lhszGS24yPcG-A,"Wills, Trusts, & Probates, Professional Services, Real Estate Law, Lawyers, General Litigation, Estate Planning Law, Divorce & Family Law, Business Law",Las Vegas,"Drizin Law | Probate, Estate Planning, Wills and Trusts",89128,4.0,NV
"2101 Windsor Pl, Ste 2, Chase Bank Building",XrC0GNsP3_oQZMmGscNPWw,"Business Law, Criminal Defense Law, Professional Services, Lawyers, Estate Planning Law, Personal Injury Law, Immigration Law, Divorce & Family Law",Champaign,Maatuka Al-Heeti Emkes,61820,5.0,IL
"7373 E Doubletree Ranch Rd, Ste 200",EwwtoEgGPAB4cpzxUNhElQ,"Lawyers, Divorce & Family Law, Professional Services, Estate Planning Law, Wills, Trusts, & Probates, Business Law",Scottsdale,RD Smith Law,85258,5.0,AZ
1290 S Jones Blvd,44_-jHi1F6vEl9wEPF_ycA,"Personal Injury Law, General Litigation, Tax Law, Professional Services, Lawyers, Bankruptcy Law, Real Estate Law",Las Vegas,Van Law Firm,89146,5.0,NV
"7502 E Pinnacle Peak Rd, Ste B118",Vi3um4au870py3_Xn8Qyxg,"Legal Services, Professional Services, Lawyers, Divorce & Family Law, Estate Planning Law, Wills, Trusts, & Probates",Scottsdale,Singer Pistiner,85255,5.0,AZ
"428 S Gilbert Rd, Ste 116",hsugu--POBFgmFrHpOqVQQ,"Lawyers, Divorce & Family Law, General Litigation, Real Estate Law, Professional Services",Gilbert,Terry J. Fong Law Group,85296,4.0,AZ
"2501 Parmenter St, Ste 200B",wFWDcUq5oXZa_XKM44NuiA,"Real Estate Law, Bankruptcy Law, Lawyers, Professional Services, Divorce & Family Law",Middleton,Fuhrman & Dodge,53562,2.5,WI
"6625 S Valley View Blvd, Ste 232",1wTdZbfGvcQS7Jr3xe5H_w,"Professional Services, Lawyers, Estate Planning Law, General Litigation, Wills, Trusts, & Probates, Business Law, Divorce & Family Law",Las Vegas,Burdick Law,89118,5.0,NV
"725 S 8th St, Ste 100",ob33SuNNHgODbhq11b0EIw,"Professional Services, Divorce & Family Law, Bankruptcy Law, Lawyers, Estate Planning Law",Las Vegas,Ghandi Deeter Blackham Law Offices,89101,4.0,NV
"411 East Bonneville Ave, Ste 505",fcJnDgLjIYoHkdlFMxOYDg,"Employment Law, Professional Services, Lawyers, Workers Compensation Law, Estate Planning Law, Wills, Trusts, & Probates, Social Security Law, Disability Law, Personal Injury Law",Las Vegas,Welt Law,89101,3.0,NV
"4250 N Drinkwater Blvd, Ste 320",CMfUC3KTV-jDjTwjM0iYEg,"General Litigation, Debt Relief Services, Real Estate, Financial Services, Real Estate Law, Lawyers, Bankruptcy Law, Professional Services, Home Services",Scottsdale,McCarthy Law,85251,3.5,AZ
"6020 E Brown Rd, Ste B-106",7582k8HTDRBVK0JL2qWoHw,"Lawyers, Business Law, Estate Planning Law, Personal Injury Law, Professional Services",Mesa,Chastain Legal Group,85205,5.0,AZ
"7251 W Lake Mead Blvd, Ste 300",WUR4t14RH_3Cje4UzHI_SQ,"Local Services, Real Estate Law, Commercial Real Estate, Notaries, Home Services, Lawyers, Legal Services, Professional Services, Real Estate, Real Estate Services",Las Vegas,Quick Claim USA,89128,5.0,NV
"8060 Silver Springs Boulevard NW, Suite 106",RdLg4jej0554Lc6zf0rgZQ,"Real Estate, Real Estate Services, Lawyers, Home Services, Real Estate Law, Professional Services",Calgary,MacKay Real Property Law,T3B 5K1,3.5,AB
"64 N Pecos Rd, Ste 100",LHBqTy-yA1J1sip5aY03gA,"Professional Services, Bankruptcy Law, Lawyers, Real Estate Law, Divorce & Family Law, Business Law",Henderson,Pontoni Michael R,89074,3.5,NV
"10150 Mallard Creek Rd, Bldg 3, Ste 209",noXU6jMfJE5ucpjXlHOHjg,"Real Estate Law, Lawyers, Professional Services",Charlotte,The Coley Law Firm,28262,3.5,NC
3411 N 32nd St,R5xIz45ztdsthSKBbgMvCQ,"Lawyers, Professional Services, Tax Law, Real Estate Law, Bankruptcy Law, Employment Law, Personal Injury Law",Phoenix,"The Rosacci Law Firm, PC",85018,5.0,AZ
"14500 N Northsight Blvd, Ste 208",IldFUl2hTbIG5mamyrUX_A,"Bankruptcy Law, Divorce & Family Law, Business Law, General Litigation, Real Estate Law, Professional Services, Personal Injury Law, Lawyers",Scottsdale,Drake Law Firm,85260,2.5,AZ
147 Liberty Street,zfn2YAYzU3y5SsJqRLJfMQ,"Divorce & Family Law, Business Law, Real Estate Law, Local Services, Professional Services, Notaries, Lawyers",Toronto,6ixLawyer/Lawyer on Wheels,M6K 3G3,3.5,ON
"2432 W Peoria Ave, Ste 1284, Bldg 18",5ePf6TFBbxUt1BBvP9nXEQ,"Lawyers, Bankruptcy Law, Wills, Trusts, & Probates, Professional Services, Personal Injury Law, Estate Planning Law",Phoenix,"Simmons & Greene, P.C.",85029,5.0,AZ
"4140 E Baseline Rd, Ste 101",gqwlqfC2akV7PXIIGyNCbw,"Estate Planning Law, Business Law, Professional Services, Lawyers, Wills, Trusts, & Probates",Mesa,Woods Law Group,85206,5.0,AZ
"7600 N 16th St, Ste 105",byYbmnfna-uxrNFIdJUiCQ,"Lawyers, Professional Services, Estate Planning Law",Phoenix,"Morris Hall, PLLC",85020,2.0,AZ
113-2155 Leanne Boulevard,FaaxTICv7WfoJARi8LAWPg,"Business Law, Professional Services, Real Estate Law, Lawyers, Estate Planning Law",Mississauga,Ball & Berljawsky,L5K 2K8,3.5,ON
"4101 Meadows Ln, Ste 210",dIcJ08GHNVUmTMNYW5qS3Q,"Real Estate Law, DUI Law, Lawyers, Criminal Defense Law, Professional Services, Personal Injury Law",Las Vegas,Valiente Mott,89107,5.0,NV
"4270 S Decatur Blvd, Ste B10",LIOyluKTkOoA1dduOLZB6g,"Professional Services, Lawyers, Divorce & Family Law, Estate Planning Law",Las Vegas,Steinberg Law Group,89103,3.5,NV
"215 E Warm Springs Rd, Ste 109",pePJunIRixnoRrojFW-xyg,"Real Estate Law, Lawyers, Process Servers, Tenant and Eviction Law, Local Services, Legal Services, Junk Removal & Hauling, Professional Services, Real Estate Services, Home Services, Real Estate",Las Vegas,Vegas Valley Evictions,89119,4.5,NV
812 Ivy St,ric6_nTE68dBs4q6IGBpOA,"Professional Services, Personal Injury Law, Lawyers, General Litigation, Medical Law, Real Estate Law, Business Law",Pittsburgh,Flaherty Fardo,15232,3.5,PA
"6272 Spring Mountain Rd, Ste 110",bhzKoF4XJ5790jt9-08oQA,"Real Estate Law, Lawyers, Professional Services, Personal Injury Law, Bankruptcy Law",Las Vegas,Vohwinkel Law,89146,4.5,NV
"11225 N 28th Dr, Ste A105",aMqStYa8kPPGjW1_H4Zh-w,"Estate Planning Law, Lawyers, Professional Services, Wills, Trusts, & Probates, Business Law",Phoenix,Nicole Pavlik Law Firm,85029,5.0,AZ
"4035 W Chandler Blvd, Ste 4",q_B7QQi1FzmT4Axw6ZrnJA,"Tax Law, Wills, Trusts, & Probates, Food, Ice Cream & Frozen Yogurt, Pizza, Estate Planning Law, Lawyers, Tax Services, Bankruptcy Law, Professional Services, Business Consulting, Financial Services, Restaurants",Chandler,Law Office of James J Gentile,85226,4.0,AZ
3216 W Charleston Blvd,aMOCpkCjjjD5InYwIIkAoQ,"Lawyers, Professional Services, General Litigation, Real Estate Law",Las Vegas,Needham Law Firm,89102,5.0,NV
